Category,Item,Total Spent,Transaction Date
Dining,Food Delivery,38.77,2024-11-10
Subscriptions,Spotify,23.58,2024-03-11
Housing,Mortgage,1235.24,2023-11-10
Transportation,Train Ticket,20.74,2023-07-17
Transportation,Uber Ride,112.2,2024-12-07
Utilities,Water Bill,136.52,2024-08-26
Other,Misc Expense,147.14,2023-07-18
Transportation,Train Ticket,56.05,2023-11-06
Groceries,Vegetables,81.52,2023-10-08
Groceries,Milk,84.34,2024-12-15
Utilities,Internet Bill,32.7,2023-10-19
Dining,Fast Food,67.75,2023-07-08
Groceries,Eggs,141.34,2024-05-04
Groceries,Milk,61.9,2023-03-17
Subscriptions,Gym Membership,10.31,2024-07-30
Transportation,Uber Ride,149.11,2023-05-02
Subscriptions,Spotify,32.68,2023-08-20
Other,Misc Expense,69.23,2024-03-29
Transportation,Fuel,47.89,2024-09-27
Groceries,Chicken,144.14,2023-04-12
Other,Online Purchase,94.95,2023-09-28
Housing,Rent,843.34,2023-03-18
Utilities,Electricity Bill,181.66,2024-04-26
Transportation,Uber Ride,37.03,2024-12-24
Transportation,Fuel,13.46,2023-08-28
Transportation,Train Ticket,65.5,2024-07-11
Utilities,Water Bill,211.86,2023-03-15
Groceries,Bread,119.52,2024-09-01
Housing,Mortgage,1256.18,2023-11-08
Housing,Mortgage,1300.66,2024-05-20
Dining,Restaurant,90.91,2024-03-18
Housing,Mortgage,636.21,2023-08-23
Housing,Rent,1541.19,2023-10-03
Subscriptions,Netflix,11.13,2024-06-15
Housing,Mortgage,854.08,2024-08-22
Dining,Food Delivery,122.69,2023-04-04
Dining,Fast Food,63.03,2023-11-25
Housing,Rent,1061.73,2024-12-11
Dining,Fast Food,100.4,2024-02-15
Other,Online Purchase,69.86,2023-11-19
Transportation,Bus Pass,20.04,2024-02-18
Other,Online Purchase,99.68,2024-07-09
Dining,Fast Food,10.97,2024-06-14
Transportation,Fuel,94.94,2023-02-22
Utilities,Gas Bill,234.09,2024-03-24
Housing,Mortgage,1962.41,2024-09-15
Other,Online Purchase,107.34,2023-11-15
Subscriptions,Netflix,8.26,2023-04-27
Dining,Restaurant,98.21,2023-06-07
Dining,Food Delivery,45.9,2024-12-23
Transportation,Fuel,125.7,2024-04-28
Utilities,Internet Bill,114.39,2024-09-05
Subscriptions,Gym Membership,35.24,2023-10-10
Other,Misc Expense,52.96,2024-06-03
Transportation,Uber Ride,44.58,2023-11-02
Other,Misc Expense,130.19,2024-04-02
Subscriptions,Spotify,24.32,2024-07-10
Dining,Fast Food,140.13,2023-07-13
Housing,Rent,926.99,2024-02-25
Groceries,Eggs,112.47,2024-12-23
Other,Misc Expense,59.75,2024-11-10
Other,Online Purchase,75.81,2023-02-07
Utilities,Gas Bill,222.32,2024-03-26
Groceries,Chicken,136.83,2023-01-16
Housing,Rent,1516.69,2023-06-08
Groceries,Rice,117.88,2023-09-29
Transportation,Fuel,98.53,2023-12-03
Other,Misc Expense,143.26,2024-10-03
Housing,Mortgage,650.26,2023-03-12
Utilities,Gas Bill,194.29,2024-03-20
Groceries,Vegetables,106.47,2023-04-13
Dining,Restaurant,105.02,2023-01-30
Groceries,Eggs,120.03,2023-10-28
Transportation,Bus Pass,66.31,2023-09-08
Subscriptions,Spotify,32.74,2023-06-24
Utilities,Electricity Bill,114.16,2024-11-30
Utilities,Internet Bill,61.49,2024-04-17
Housing,Mortgage,1533.58,2024-04-21
Transportation,Train Ticket,13.86,2023-12-20
Subscriptions,Spotify,19.85,2023-09-14
Dining,Fast Food,32.28,2024-01-29
Other,Misc Expense,18.68,2024-01-26
Subscriptions,Spotify,39.74,2023-10-30
Groceries,Vegetables,61.18,2023-01-09
Subscriptions,Gym Membership,39.08,2024-09-12
Housing,Mortgage,1864.11,2023-08-24
Subscriptions,Spotify,11.65,2023-09-14
Housing,Rent,1864.77,2024-10-23
Groceries,Eggs,118.93,2023-02-04
Subscriptions,Spotify,8.15,2023-10-30
Transportation,Fuel,28.82,2023-05-16
Other,Misc Expense,81.04,2023-10-07
Other,Online Purchase,40.77,2024-05-08
Other,Misc Expense,112.74,2023-12-13
Other,Online Purchase,71.84,2023-03-19
Utilities,Water Bill,189.33,2024-02-11
Other,Misc Expense,16.27,2024-02-09
Groceries,Eggs,81.88,2024-04-10
Transportation,Bus Pass,88.93,2024-10-15
Transportation,Uber Ride,102.2,2024-04-27
Groceries,Chicken,132.98,2024-07-28
Transportation,Train Ticket,98.2,2024-10-12
Other,Misc Expense,136.68,2023-11-06
Housing,Mortgage,663.49,2023-02-08
Transportation,Fuel,20.07,2023-08-29
Subscriptions,Netflix,17.99,2024-12-14
Subscriptions,Spotify,30.43,2024-02-29
Housing,Rent,1461.91,2023-10-14
Groceries,Vegetables,57.47,2024-03-30
Dining,Restaurant,128.75,2023-04-12
Housing,Mortgage,1968.98,2024-01-03
Groceries,Rice,43.55,2023-05-06
Other,Misc Expense,16.48,2023-08-06
Housing,Rent,1066.91,2023-05-09
Other,Online Purchase,13.09,2024-07-21
Utilities,Water Bill,81.26,2023-06-01
Other,Online Purchase,43.76,2023-05-29
Utilities,Gas Bill,54.18,2023-01-27
Utilities,Electricity Bill,203.45,2024-08-25
Transportation,Uber Ride,28.61,2023-02-23
Utilities,Internet Bill,194.05,2024-05-02
Dining,Fast Food,78.45,2023-04-22
Dining,Food Delivery,35.57,2024-09-21
Groceries,Vegetables,118.13,2024-11-05
Subscriptions,Spotify,38.74,2023-03-04
Dining,Fast Food,65.66,2023-04-21
Dining,Food Delivery,136.73,2023-03-17
Groceries,Eggs,92.42,2023-03-09
Utilities,Gas Bill,158.78,2024-12-30
Transportation,Fuel,149.21,2024-06-27
Transportation,Fuel,77.32,2024-03-16
Groceries,Vegetables,19.82,2024-11-01
Housing,Rent,1843.33,2024-02-28
Transportation,Fuel,61.61,2023-04-08
Transportation,Fuel,48.94,2023-09-19
Transportation,Train Ticket,103.96,2024-04-30
Groceries,Milk,125.27,2023-04-06
Dining,Restaurant,112.45,2024-01-17
Other,Online Purchase,84.79,2024-08-23
Subscriptions,Gym Membership,9.28,2023-12-29
Other,Misc Expense,130.61,2023-02-22
Transportation,Bus Pass,54.69,2024-08-14
Subscriptions,Netflix,21.88,2023-04-21
Transportation,Bus Pass,19.89,2023-10-13
Subscriptions,Netflix,34.58,2024-09-28
Subscriptions,Gym Membership,5.92,2024-11-04
Other,Misc Expense,7.26,2023-10-07
Housing,Mortgage,1091.43,2023-07-05
Other,Online Purchase,86.25,2024-02-15
Groceries,Bread,111.92,2023-02-01
Groceries,Vegetables,80.98,2024-01-21
Dining,Fast Food,53.11,2024-01-14
Transportation,Bus Pass,117.19,2024-08-04
Subscriptions,Netflix,10.45,2024-09-24
Groceries,Vegetables,14.99,2024-03-29
Housing,Mortgage,1218.86,2023-10-07
Utilities,Electricity Bill,54.4,2024-11-25
Housing,Mortgage,1031.79,2023-08-14
Dining,Food Delivery,11.05,2023-07-29
Transportation,Train Ticket,115.8,2023-09-19
Transportation,Bus Pass,20.64,2024-05-24
Housing,Mortgage,1132.29,2024-12-21
Utilities,Gas Bill,219.59,2023-02-13
Dining,Restaurant,70.58,2023-03-21
Other,Misc Expense,87.64,2024-08-10
Dining,Food Delivery,97.1,2023-10-24
Groceries,Rice,6.07,2023-11-29
Utilities,Internet Bill,232.35,2023-04-01
Dining,Restaurant,38.77,2024-08-26
Dining,Food Delivery,14.56,2023-11-14
Housing,Mortgage,1690.77,2023-03-20
Subscriptions,Gym Membership,22.85,2023-12-24
Transportation,Train Ticket,37.73,2023-05-30
Transportation,Train Ticket,28.5,2023-06-06
Other,Online Purchase,29.04,2024-10-05
Dining,Fast Food,113.9,2024-08-16
Dining,Food Delivery,138.85,2024-08-01
Housing,Mortgage,1478.1,2023-06-04
Dining,Restaurant,71.93,2024-10-08
Transportation,Bus Pass,89.94,2023-12-27
Subscriptions,Netflix,20.82,2023-02-28
Transportation,Bus Pass,14.28,2023-04-03
Subscriptions,Gym Membership,21.19,2024-07-21
Other,Online Purchase,69.11,2024-08-08
Housing,Rent,1265.88,2023-06-04
Groceries,Rice,18.21,2023-12-18
Housing,Rent,841.58,2023-09-11
Housing,Mortgage,1333.7,2024-09-16
Utilities,Gas Bill,92.24,2024-02-23
Other,Misc Expense,102.8,2023-02-23
Other,Misc Expense,12.69,2023-04-07
Subscriptions,Gym Membership,13.82,2024-11-03
Subscriptions,Netflix,25.4,2023-05-25
Transportation,Bus Pass,145.25,2024-12-16
Housing,Mortgage,1592.37,2023-03-28
Transportation,Fuel,97.59,2023-12-03
Other,Online Purchase,101.51,2024-12-02
Subscriptions,Netflix,19.82,2024-01-06
Groceries,Eggs,48.4,2023-08-08
Transportation,Fuel,31.22,2023-05-21
Utilities,Electricity Bill,203.39,2024-06-03
Other,Online Purchase,100.3,2024-09-24
Utilities,Internet Bill,69.79,2024-12-10
Other,Online Purchase,109.01,2023-02-14
Dining,Fast Food,102.43,2023-09-01
Dining,Food Delivery,44.88,2024-04-04
Utilities,Water Bill,207.9,2024-04-25
Other,Online Purchase,57.07,2024-08-07
Dining,Fast Food,116.11,2024-01-27
Subscriptions,Gym Membership,10.67,2023-07-24
Other,Online Purchase,131.33,2023-02-23
Housing,Mortgage,1376.36,2023-04-16
Housing,Rent,1668.36,2023-10-07
Dining,Food Delivery,24.66,2024-03-23
Groceries,Bread,123.06,2023-12-24
Groceries,Rice,10.83,2024-05-29
Transportation,Train Ticket,59.77,2023-03-25
Transportation,Train Ticket,7.14,2023-04-12
Other,Misc Expense,119.33,2023-05-21
Groceries,Eggs,137.86,2024-04-28
Housing,Rent,1256.75,2024-09-22
Groceries,Milk,5.79,2023-08-09
Other,Online Purchase,83.67,2024-09-15
Subscriptions,Spotify,15.08,2023-11-05
Groceries,Milk,38.05,2024-10-16
Other,Misc Expense,12.23,2024-05-26
Subscriptions,Gym Membership,23.04,2023-09-05
Housing,Rent,602.19,2023-12-28
Utilities,Internet Bill,177.01,2024-06-20
Transportation,Uber Ride,143.15,2024-07-11
Subscriptions,Gym Membership,18.67,2024-04-26
Groceries,Vegetables,59.87,2024-01-18
Transportation,Uber Ride,55.49,2023-03-11
Transportation,Train Ticket,110.74,2024-10-05
Groceries,Chicken,111.07,2023-12-07
Utilities,Electricity Bill,104.48,2024-10-20
Utilities,Internet Bill,135.28,2023-07-06
Other,Online Purchase,12.28,2024-04-13
Groceries,Eggs,32.63,2023-07-24
Groceries,Eggs,140.21,2024-06-11
Dining,Food Delivery,72.59,2023-02-07
Other,Online Purchase,45.06,2023-02-18
Other,Misc Expense,43.16,2024-01-12
Dining,Fast Food,112.27,2024-01-31
Transportation,Train Ticket,75.94,2024-05-24
Transportation,Bus Pass,120.77,2024-03-10
Groceries,Rice,91.56,2023-07-04
Subscriptions,Spotify,7.8,2024-11-07
Transportation,Bus Pass,68.55,2024-03-12
Utilities,Internet Bill,39.32,2023-12-28
Subscriptions,Spotify,39.3,2023-02-28
Groceries,Vegetables,96.71,2024-01-08
Subscriptions,Gym Membership,38.35,2023-05-27
Other,Misc Expense,8.12,2023-03-10
Utilities,Gas Bill,238.88,2023-02-03
Subscriptions,Netflix,38.21,2024-01-16
Dining,Restaurant,87.37,2024-06-26
Transportation,Fuel,49.21,2023-10-13
Utilities,Electricity Bill,70.93,2024-06-14
Dining,Food Delivery,20.31,2023-09-24
Housing,Mortgage,1456.63,2024-12-11
Dining,Restaurant,21.03,2023-03-17
Dining,Restaurant,135.11,2024-03-31
Groceries,Vegetables,145.23,2023-11-24
Housing,Mortgage,1370.0,2023-10-25
Transportation,Train Ticket,107.64,2024-12-18
Housing,Rent,1312.26,2023-05-05
Utilities,Water Bill,138.68,2024-01-05
Subscriptions,Gym Membership,33.13,2024-07-18
Utilities,Electricity Bill,117.6,2024-05-05
Subscriptions,Spotify,33.82,2023-03-17
Utilities,Gas Bill,128.99,2024-11-27
Subscriptions,Spotify,34.02,2024-07-18
Housing,Rent,780.65,2024-05-29
Other,Online Purchase,125.21,2024-06-14
Utilities,Gas Bill,100.99,2024-12-27
Utilities,Gas Bill,144.16,2023-10-18
Other,Online Purchase,39.84,2024-10-12
Subscriptions,Spotify,15.6,2024-06-30
Groceries,Chicken,97.23,2024-08-29
Subscriptions,Netflix,26.86,2024-09-11
Transportation,Uber Ride,124.31,2023-01-30
Groceries,Milk,142.44,2024-08-13
Transportation,Train Ticket,115.74,2024-03-02
Subscriptions,Gym Membership,36.11,2024-07-12
Transportation,Bus Pass,73.99,2024-12-02
Dining,Fast Food,69.67,2024-12-06
Groceries,Bread,67.62,2024-05-10
Dining,Restaurant,53.01,2023-05-28
Transportation,Bus Pass,110.93,2023-12-20
Dining,Restaurant,114.82,2024-06-11
Subscriptions,Netflix,21.33,2023-10-01
Dining,Restaurant,23.71,2023-02-21
Transportation,Fuel,130.03,2024-03-04
Utilities,Water Bill,235.43,2023-11-17
Utilities,Water Bill,143.24,2024-05-25
Transportation,Fuel,6.41,2024-02-07
Subscriptions,Spotify,12.53,2023-12-28
Groceries,Milk,44.36,2024-09-03
Other,Misc Expense,45.01,2023-01-09
Other,Online Purchase,66.35,2023-09-28
Housing,Mortgage,1112.31,2024-02-15
Groceries,Chicken,85.59,2024-01-07
Subscriptions,Spotify,22.65,2024-07-17
Transportation,Uber Ride,21.91,2023-04-10
Dining,Fast Food,119.85,2023-12-14
Subscriptions,Spotify,11.97,2024-06-05
Dining,Food Delivery,8.92,2023-02-09
Utilities,Gas Bill,144.25,2023-06-02
Subscriptions,Gym Membership,37.6,2023-11-23
Utilities,Internet Bill,192.65,2023-11-03
Subscriptions,Spotify,22.84,2024-05-16
Housing,Mortgage,623.29,2023-12-06
Housing,Rent,1417.18,2024-12-05
Housing,Rent,971.74,2024-11-02
Other,Online Purchase,109.05,2024-08-20
Dining,Restaurant,80.06,2024-09-26
Other,Misc Expense,24.72,2024-11-28
Utilities,Electricity Bill,184.11,2023-07-15
Groceries,Rice,49.11,2023-06-05
Dining,Food Delivery,32.97,2024-05-28
Other,Misc Expense,131.3,2023-03-05
Housing,Rent,1385.24,2024-11-09
Dining,Food Delivery,58.39,2023-06-27
Dining,Food Delivery,53.32,2023-12-29
Housing,Mortgage,869.17,2023-09-10
Transportation,Bus Pass,36.06,2023-11-01
Other,Misc Expense,106.62,2024-12-07
Housing,Mortgage,1088.32,2023-10-08
Transportation,Uber Ride,87.3,2024-07-10
Dining,Fast Food,123.3,2023-05-30
Transportation,Uber Ride,45.28,2023-03-22
Transportation,Fuel,99.43,2024-05-05
Utilities,Water Bill,89.65,2024-07-29
Housing,Mortgage,1461.95,2024-08-23
Utilities,Water Bill,229.14,2023-08-20
Housing,Rent,1178.62,2024-04-28
Groceries,Vegetables,116.3,2023-01-06
Subscriptions,Netflix,37.73,2024-05-02
Dining,Food Delivery,32.32,2023-10-22
Transportation,Bus Pass,97.95,2023-04-02
Housing,Rent,1612.36,2023-02-08
Utilities,Internet Bill,68.67,2023-02-07
Other,Misc Expense,118.83,2023-07-10
Housing,Mortgage,612.97,2024-08-04
Subscriptions,Netflix,16.73,2024-04-10
Housing,Mortgage,787.88,2024-05-31
Dining,Fast Food,31.34,2023-04-26
Transportation,Train Ticket,110.47,2024-10-25
Transportation,Train Ticket,5.07,2023-12-12
Other,Misc Expense,86.46,2023-07-17
Utilities,Internet Bill,143.36,2023-03-30
Dining,Food Delivery,17.02,2023-05-24
Dining,Fast Food,140.57,2023-01-07
Transportation,Fuel,37.62,2023-10-01
Transportation,Bus Pass,88.62,2024-08-09
Groceries,Eggs,99.09,2024-12-10
Utilities,Electricity Bill,132.39,2023-06-13
Dining,Food Delivery,76.87,2024-12-21
Other,Misc Expense,104.47,2024-10-16
Transportation,Bus Pass,93.35,2023-08-13
Utilities,Internet Bill,194.5,2024-09-12
Transportation,Fuel,106.19,2024-04-27
Other,Online Purchase,114.99,2024-11-27
Other,Online Purchase,80.25,2024-06-24
Housing,Mortgage,1389.84,2023-03-05
Other,Online Purchase,87.19,2023-06-03
Utilities,Gas Bill,127.2,2024-11-27
Utilities,Internet Bill,142.28,2023-02-26
Dining,Restaurant,78.45,2024-04-12
Subscriptions,Netflix,28.55,2023-11-12
Housing,Rent,1743.03,2023-08-12
Subscriptions,Netflix,17.06,2023-03-07
Subscriptions,Netflix,7.42,2024-04-28
Groceries,Eggs,63.1,2023-05-19
Other,Misc Expense,58.05,2024-01-27
Dining,Fast Food,58.22,2024-11-30
Housing,Rent,1086.88,2023-07-02
Subscriptions,Spotify,30.48,2023-08-17
Other,Online Purchase,114.16,2023-11-02
Dining,Food Delivery,108.71,2024-03-10
Subscriptions,Spotify,13.66,2023-12-21
Utilities,Gas Bill,222.55,2023-04-26
Groceries,Vegetables,64.63,2023-01-17
Utilities,Water Bill,160.67,2024-04-02
Subscriptions,Gym Membership,6.7,2023-02-15
Dining,Fast Food,37.45,2023-08-11
Other,Online Purchase,23.6,2023-10-24
Utilities,Gas Bill,199.96,2023-11-25
Utilities,Gas Bill,246.85,2024-06-17
Utilities,Internet Bill,43.41,2024-08-28
Housing,Rent,1198.08,2024-05-22
Groceries,Eggs,141.41,2024-11-18
Dining,Food Delivery,49.85,2024-03-02
Dining,Restaurant,47.08,2023-07-08
Other,Misc Expense,38.42,2023-08-19
Transportation,Train Ticket,121.45,2023-03-01
Subscriptions,Spotify,24.51,2023-05-18
Dining,Restaurant,40.48,2023-12-05
Housing,Rent,1785.99,2023-04-05
Subscriptions,Gym Membership,6.8,2024-01-22
Housing,Rent,863.43,2024-08-24
Housing,Rent,1817.26,2023-12-07
Transportation,Uber Ride,34.14,2023-07-14
Housing,Rent,1656.06,2023-09-06
Housing,Rent,935.06,2023-11-26
Other,Misc Expense,58.96,2024-06-30
Housing,Mortgage,1103.5,2024-05-24
Dining,Restaurant,121.01,2024-04-25
Other,Misc Expense,137.41,2024-01-15
Transportation,Fuel,9.72,2023-08-15
Housing,Rent,1374.64,2024-08-21
Subscriptions,Gym Membership,10.33,2023-12-04
Utilities,Internet Bill,84.06,2024-07-17
Housing,Mortgage,1750.23,2024-10-19
Housing,Mortgage,1625.88,2023-12-27
Utilities,Water Bill,137.43,2024-07-09
Housing,Rent,1774.7,2023-03-18
Other,Online Purchase,115.36,2024-02-27
Utilities,Water Bill,63.23,2023-08-12
Subscriptions,Spotify,26.62,2024-11-13
Subscriptions,Spotify,5.55,2024-06-28
Subscriptions,Spotify,23.53,2023-10-09
Subscriptions,Spotify,33.46,2024-11-21
Dining,Restaurant,18.73,2023-04-09
Subscriptions,Netflix,26.69,2023-09-16
Other,Misc Expense,42.3,2024-02-11
Groceries,Eggs,144.02,2024-04-15
Subscriptions,Netflix,12.91,2024-12-01
Other,Online Purchase,99.1,2024-10-27
Other,Online Purchase,16.74,2024-01-24
Dining,Food Delivery,72.97,2024-10-14
Groceries,Vegetables,28.19,2024-05-26
Other,Misc Expense,97.8,2023-12-06
Subscriptions,Netflix,37.17,2023-08-24
Utilities,Internet Bill,233.32,2024-12-01
Transportation,Uber Ride,29.37,2023-11-19
Groceries,Bread,89.29,2024-12-30
Other,Misc Expense,139.54,2023-11-03
Utilities,Water Bill,216.88,2024-11-24
Subscriptions,Spotify,30.89,2024-12-06
Housing,Rent,1964.05,2023-02-24
Groceries,Rice,37.13,2023-03-19
Transportation,Fuel,145.43,2023-12-01
Groceries,Vegetables,43.18,2024-04-06
Dining,Restaurant,55.3,2024-01-20
Dining,Restaurant,102.92,2024-11-07
Dining,Restaurant,116.51,2023-10-30
Other,Online Purchase,107.83,2023-03-26
Transportation,Train Ticket,58.86,2024-10-11
Utilities,Internet Bill,53.44,2023-01-06
Transportation,Fuel,55.91,2023-10-04
Groceries,Bread,15.83,2024-03-17
Dining,Food Delivery,84.55,2024-02-22
Groceries,Milk,16.17,2024-07-21
Groceries,Chicken,90.91,2023-11-29
Other,Misc Expense,4.81,2024-02-28
Dining,Restaurant,109.55,2024-07-26
Utilities,Water Bill,67.29,2023-10-03
Transportation,Bus Pass,75.49,2023-03-06
Utilities,Internet Bill,95.95,2023-03-20
Transportation,Bus Pass,141.8,2024-10-02
Dining,Food Delivery,93.65,2024-04-13
Groceries,Bread,47.78,2024-02-10
Transportation,Fuel,121.2,2023-12-04
Dining,Fast Food,66.3,2024-10-28
Subscriptions,Netflix,26.11,2024-12-12
Utilities,Internet Bill,242.21,2023-11-23
Transportation,Fuel,145.26,2023-09-06
Transportation,Fuel,44.2,2024-02-07
Transportation,Uber Ride,140.01,2023-07-24
Subscriptions,Gym Membership,31.87,2023-01-28
