date,description,amount,label,source
2023-06-15,FOOD DELIVERY DELIVEROO FAST FOOD 157294,62.96,dining,simulated_bank_transactions_uk
2024-09-05,FUEL SHELL CAR MAINTENANCE,128.75,transportation,simulated_bank_transactions_uk
2024-01-07,Bill Payment British Gas 918202,51.29,utilities,simulated_bank_transactions_uk
2023-09-04,Rent Payment Landlord 773343,1021.15,housing,simulated_bank_transactions_uk
2024-05-12,Bacs Mortgage Rent,782.76,housing,simulated_bank_transactions_uk
2023-05-12,Direct/Debit/Puregym 293136,35.4,subscriptions,simulated_bank_transactions_uk
2024-09-13,Restaurant Greggs Fast Food 274903,46.08,dining,simulated_bank_transactions_uk
2024-12-07,transport bolt train ticket 537265,130.19,transportation,simulated_bank_transactions_uk
2024-11-18,CARD PAYMENT LIDL CHICKEN 755377,82.8,groceries,simulated_bank_transactions_uk
2024-04-07,Direct Debit Restaurant Kfc Cafe 944767,144.44,dining,simulated_bank_transactions_uk
2023-01-22,Contactless Aldi Rice 698229,17.49,groceries,simulated_bank_transactions_uk
2023-01-08,Food/Delivery/Mcdonalds/Fast/Food 609158,96.21,dining,simulated_bank_transactions_uk
2023-02-02,CARD PMT WAITROSE MILK,49.64,groceries,simulated_bank_transactions_uk
2023-10-13,Bacs Landlord Rent 999243,1446.94,housing,simulated_bank_transactions_uk
2024-08-07,VISA CARD PAYMENT GREGGS FAST,88.58,dining,simulated_bank_transactions_uk
2024-02-21,CARD PMT UBER EATS FAST FOOD 788443,126.62,dining,simulated_bank_transactions_uk
2023-12-29,so card payment sainsburys bread,133.5,groceries,simulated_bank_transactions_uk
2023-02-25,Card Pmt National Rail Fuel,121.21,transportation,simulated_bank_transactions_uk
2023-12-14,restaurant/just/eat/restaurant,14.39,dining,simulated_bank_transactions_uk
2023-07-14,CARD-PAYMENT-PUREGYM 937406,14.19,subscriptions,simulated_bank_transactions_uk
2023-10-13,TRANSPORT*NATIONAL*RAIL*TRAIN*TICKET 569969,60.22,transportation,simulated_bank_transactions_uk
2024-07-17,Transport Tfl Uber Ride 924435,63.15,transportation,simulated_bank_transactions_uk
2023-08-31,CARD PAYMENT MORRISONS MILK,193.95,groceries,simulated_bank_transactions_uk
2024-02-15,card payment lidl cereal 837912,98.86,groceries,simulated_bank_transactions_uk
2024-02-04,mortgage payment landlord,1237.41,housing,simulated_bank_transactions_uk
2024-12-14,contactless-direct-debit-vodafone 923369,92.03,utilities,simulated_bank_transactions_uk
2024-05-13,Pos-Purchase-Hmrc-Electronics 72951,166.48,other,simulated_bank_transactions_uk
2023-03-01,Visa*Pos*Tesco*Chicken 592364,47.45,groceries,simulated_bank_transactions_uk
2023-02-28,FOOD DELIVERY DELIVEROO RESTAURANT,120.94,dining,simulated_bank_transactions_uk
2024-06-27,Card Payment Asda Cereal,103.06,groceries,simulated_bank_transactions_uk
2023-03-12,Contactless Pos Lidl Bread 594423,171.01,groceries,simulated_bank_transactions_uk
2024-08-06,FOOD DELIVERY COSTA FAST FOOD 441463,67.59,dining,simulated_bank_transactions_uk
2024-03-05,Card Pmt Sainsburys Milk 770440,125.78,groceries,simulated_bank_transactions_uk
2023-07-29,Food Delivery Greggs Food Delivery 258420,149.88,dining,simulated_bank_transactions_uk
2024-02-10,fps restaurant nando's food delivery 519317,42.0,dining,simulated_bank_transactions_uk
2023-03-16,CARD-PAYMENT-ASDA-CHICKEN 542722,94.16,groceries,simulated_bank_transactions_uk
2023-08-07,Pos Sainsburys Bread 515663,19.29,groceries,simulated_bank_transactions_uk
2023-03-12,pos transport tfl train ticket 557711,130.79,transportation,simulated_bank_transactions_uk
2024-03-24,MORTGAGE/PMT/LETTING/AGENT 779967,1091.73,housing,simulated_bank_transactions_uk
2024-10-31,SUBSCRIPTION DISNEY+,29.08,subscriptions,simulated_bank_transactions_uk
2024-11-10,card transport trainline car maintenance 48726,43.31,transportation,simulated_bank_transactions_uk
2023-04-20,Contactless Aldi Eggs 493198,56.57,groceries,simulated_bank_transactions_uk
2024-09-11,Card Payment Costa Fast Food 78680,47.21,dining,simulated_bank_transactions_uk
2024-10-11,Pos/Tesco/Vegetables 802577,44.7,groceries,simulated_bank_transactions_uk
2023-02-22,bacs landlord rent,1407.22,housing,simulated_bank_transactions_uk
2023-02-15,CONTACTLESS TESCO FRUIT 183256,166.72,groceries,simulated_bank_transactions_uk
2023-09-26,pos/asda/eggs 297451,129.24,groceries,simulated_bank_transactions_uk
2024-03-13,Pos Iceland Cereal 980022,112.58,groceries,simulated_bank_transactions_uk
2024-12-08,Food Delivery Nando's Restaurant 174982,16.66,dining,simulated_bank_transactions_uk
2024-01-14,mortgage payment letting agent 567211,705.84,housing,simulated_bank_transactions_uk
2023-02-12,Food Delivery Nando's Fast Food 241044,71.62,dining,simulated_bank_transactions_uk
2023-08-04,Utility Bill Bt,236.25,utilities,simulated_bank_transactions_uk
2024-07-27,FOOD DELIVERY JUST EAT RESTAURANT 516611,59.82,dining,simulated_bank_transactions_uk
2023-06-08,Mortgage Pmt Mortgage 728369,2159.45,housing,simulated_bank_transactions_uk
2023-07-01,bacs*mortgage*rent,1990.14,housing,simulated_bank_transactions_uk
2023-12-07,BACS RENT RENT,928.01,housing,simulated_bank_transactions_uk
2023-09-12,Subscription Netflix,36.89,subscriptions,simulated_bank_transactions_uk
2023-02-09,DIRECT DEBIT BT 883277,114.9,utilities,simulated_bank_transactions_uk
2024-04-16,Rent Payment Mortgage 876271,959.34,housing,simulated_bank_transactions_uk
2024-11-06,direct debit o2 923040,77.39,utilities,simulated_bank_transactions_uk
2023-03-13,Card Pmt Sainsburys Vegetables 314058,59.33,groceries,simulated_bank_transactions_uk
2024-06-05,card pmt nhs pharmacy 478463,89.73,other,simulated_bank_transactions_uk
2023-01-29,UTILITY BILL SCOTTISHPOWER 781879,102.82,utilities,simulated_bank_transactions_uk
2023-09-29,CARD PAYMENT MORRISONS CHICKEN 912946,39.82,groceries,simulated_bank_transactions_uk
2023-11-18,card pos iceland fruit 493296,72.41,groceries,simulated_bank_transactions_uk
2024-08-13,Card Pmt Bolt Car Maintenance,17.96,transportation,simulated_bank_transactions_uk
2023-01-02,CONTACTLESS-WAITROSE-MILK,143.21,groceries,simulated_bank_transactions_uk
2024-11-17,Transport Bp Car Maintenance 83,96.79,transportation,simulated_bank_transactions_uk
2024-11-11,bacs card payment waitrose fruit 83804,18.64,groceries,simulated_bank_transactions_uk
2023-05-08,bacs-mortgage-ren,1136.57,housing,simulated_bank_transactions_uk
2024-11-13,Direct*Debit*Restaurant*Deliveroo*Food*Delivery 480027,83.6,dining,simulated_bank_transactions_uk
2024-07-21,bacs card pmt uber fuel,98.21,transportation,simulated_bank_transactions_uk
2024-01-24,Card Payment Morrisons Fruit 636863,134.66,groceries,simulated_bank_transactions_uk
2023-11-05,Pos Card Pmt Greggs Fast Food,100.4,dining,simulated_bank_transactions_uk
2023-08-04,Fuel*National*Rail*Uber*Ride 383584,43.93,transportation,simulated_bank_transactions_uk
2023-11-26,CARD-PMT-TRAINLINE-CAR-MAINTENANCE 958860,85.72,transportation,simulated_bank_transactions_uk
2024-06-07,CARD PMT NATIONAL RAIL FUEL,95.24,transportation,simulated_bank_transactions_uk
2023-10-18,Transport Trainline Train Ticket,92.92,transportation,simulated_bank_transactions_uk
2023-08-29,SO TRANSPORT SHELL CAR MAINTENANCE,48.26,transportation,simulated_bank_transactions_uk
2023-05-31,pos food delivery starbucks fast food,130.02,dining,simulated_bank_transactions_uk
2024-09-17,contactless lidl rice 123343,196.87,groceries,simulated_bank_transactions_uk
2024-10-06,Pos*Direct*Debit*Netflix 996497,22.67,subscriptions,simulated_bank_transactions_uk
2023-09-07,Restaurant Just Eat Cafe 985668,81.63,dining,simulated_bank_transactions_uk
2023-04-20,Fps Contactless Tesco Milk 719987,179.07,groceries,simulated_bank_transactions_uk
2024-12-13,Subscription Google *services,11.21,subscriptions,simulated_bank_transactions_uk
2023-05-05,DIRECT/DEBIT/FUEL/UBER/UBER/RIDE 803325,78.92,transportation,simulated_bank_transactions_uk
2024-07-26,Transport Uber Fuel 152716,94.13,transportation,simulated_bank_transactions_uk
2024-05-31,VISA RESTAURANT JUST EAT CAFE,99.96,dining,simulated_bank_transactions_uk
2023-06-12,bacs transport tfl car maintenance 816809,63.54,transportation,simulated_bank_transactions_uk
2023-09-11,Card-Pmt-Uber-Eats-Cafe,74.76,dining,simulated_bank_transactions_uk
2024-06-17,Direct Debit Gym Group 15,35.4,subscriptions,simulated_bank_transactions_uk
2023-03-21,Card Pmt Shell Train Ticket,39.89,transportation,simulated_bank_transactions_uk
2023-11-24,Food Delivery Just Eat Fast Food,47.12,dining,simulated_bank_transactions_uk
2023-08-25,MORTGAGE PMT REN,864.48,housing,simulated_bank_transactions_uk
2023-03-07,Direct Debit Direct Debit Octopus Energy 589866,191.01,utilities,simulated_bank_transactions_uk
2024-03-01,Card Pmt Trainline Bus,76.88,transportation,simulated_bank_transactions_uk
2024-08-21,CARD PAYMENT ALDI FRUIT 114475,80.95,groceries,simulated_bank_transactions_uk
2024-08-12,Rent Pmt Letting Agent,1977.93,housing,simulated_bank_transactions_uk
2023-11-02,Utility Bill Bt 287544,246.54,utilities,simulated_bank_transactions_uk
2024-07-13,card direct debit apple.com/bill 664928,26.07,subscriptions,simulated_bank_transactions_uk
2023-10-07,card-payment-spotify,24.02,subscriptions,simulated_bank_transactions_uk
2024-11-15,STO*TRANSPORT*TRAINLINE*UBER*RIDE 510253,55.66,transportation,simulated_bank_transactions_uk
2024-04-23,RESTAURANT STARBUCKS CAFE 712444,117.25,dining,simulated_bank_transactions_uk
2024-02-08,rent-payment-letting-agent,1477.89,housing,simulated_bank_transactions_uk
2024-03-14,Fps*Restaurant*Greggs*Restaurant 242288,18.01,dining,simulated_bank_transactions_uk
2023-09-24,POS WAITROSE CEREAL,40.44,groceries,simulated_bank_transactions_uk
2023-12-12,bill pmt bt 994645,131.85,utilities,simulated_bank_transactions_uk
2024-03-07,SUBSCRIPTION GOOGLE *SERVICES 415991,15.41,subscriptions,simulated_bank_transactions_uk
2024-07-06,DIRECT DEBIT SEVERN TRENT 204322,135.52,utilities,simulated_bank_transactions_uk
2023-03-12,CARD/CARD/PAYMENT/WAITROSE/VEGETABLES,48.72,groceries,simulated_bank_transactions_uk
2023-09-11,card pmt disney+ 925894,34.92,subscriptions,simulated_bank_transactions_uk
2023-09-02,mastercard contactless waitrose milk,126.16,groceries,simulated_bank_transactions_uk
2023-08-12,contactless-waitrose-bread 907231,114.97,groceries,simulated_bank_transactions_uk
2023-06-21,fuel trainline bus pass,107.83,transportation,simulated_bank_transactions_uk
2023-06-17,food delivery uber eats restaurant 851360,125.56,dining,simulated_bank_transactions_uk
2023-11-16,ONLINE*PURCHASE*SUPERDRUG*ONLINE*PURCHASE,145.94,other,simulated_bank_transactions_uk
2023-07-23,CARD PMT UBER EATS CAFE,66.48,dining,simulated_bank_transactions_uk
2023-11-05,BACS POS WAITROSE RICE 951369,24.87,groceries,simulated_bank_transactions_uk
2024-08-02,MORTGAGE*PAYMENT*LANDLORD 744266,1898.57,housing,simulated_bank_transactions_uk
2024-11-08,card pmt apple.com/bill 444973,25.84,subscriptions,simulated_bank_transactions_uk
2023-01-13,pos bill pmt british gas 145247,177.17,utilities,simulated_bank_transactions_uk
2024-01-06,Subscription Apple.com/bill 162745,8.33,subscriptions,simulated_bank_transactions_uk
2024-03-21,Direct*Debit*Card*Pmt*Uber*Eats*Cafe 789939,114.63,dining,simulated_bank_transactions_uk
2024-07-05,Pos Iceland Chicken,125.1,groceries,simulated_bank_transactions_uk
2024-08-29,direct debit puregym 210398,21.86,subscriptions,simulated_bank_transactions_uk
2023-03-30,Bill Payment E.on 887982,220.22,utilities,simulated_bank_transactions_uk
2024-04-20,BILL PAYMENT OCTOPUS ENERGY 459723,82.31,utilities,simulated_bank_transactions_uk
2024-05-21,restaurant kfc cafe 405924,57.14,dining,simulated_bank_transactions_uk
2023-12-30,RENT PAYMENT LETTING AGENT 154143,1405.7,housing,simulated_bank_transactions_uk
2024-09-02,direct debit apple.com/b,15.47,subscriptions,simulated_bank_transactions_uk
2024-06-13,CONTACTLESS/FOOD/DELIVERY/MCDONALDS/FOOD/DELIVERY 833463,91.15,dining,simulated_bank_transactions_uk
2024-02-21,RENT PMT RENT 151551,1024.1,housing,simulated_bank_transactions_uk
2024-10-23,BACS FUEL TFL TRAIN TICKET,97.3,transportation,simulated_bank_transactions_uk
2023-04-06,food delivery just eat cafe,127.9,dining,simulated_bank_transactions_uk
2023-11-10,Bill Payment British Gas,187.57,utilities,simulated_bank_transactions_uk
2024-06-27,card payment costa food delivery,78.36,dining,simulated_bank_transactions_uk
2024-12-20,UTILITY BILL O2 308696,102.74,utilities,simulated_bank_transactions_uk
2023-05-04,transport uber bus pass,36.69,transportation,simulated_bank_transactions_uk
2024-07-02,RESTAURANT KFC FOOD DELIVERY 839171,23.53,dining,simulated_bank_transactions_uk
2024-05-10,online purchase hmrc misc expense 522691,50.31,other,simulated_bank_transactions_uk
2024-06-21,BILL PAYMENT EE,254.5,utilities,simulated_bank_transactions_uk
2023-10-31,CARD PAYMENT COSTA RESTAURANT,134.06,dining,simulated_bank_transactions_uk
2024-12-26,Direct Debit Card Pmt Iceland Eggs 830924,63.94,groceries,simulated_bank_transactions_uk
2023-02-25,Fuel Trainline Bus Pass,8.28,transportation,simulated_bank_transactions_uk
2024-05-17,MASTERCARD FOOD DELIVERY UBER EATS FAST FOOD 996588,103.87,dining,simulated_bank_transactions_uk
2024-04-25,contactless asda milk 556178,116.94,groceries,simulated_bank_transactions_uk
2023-02-22,MASTERCARD*FUEL*SHELL*BUS*PASS,27.44,transportation,simulated_bank_transactions_uk
2023-03-08,STO UTILITY BILL THAMES WATER 129594,51.81,utilities,simulated_bank_transactions_uk
2024-12-03,card-payment-trainline-uber-ride,81.63,transportation,simulated_bank_transactions_uk
2023-11-08,Card Payment Aldi Eggs,163.17,groceries,simulated_bank_transactions_uk
2024-03-02,FPS POS SAINSBURYS RICE 843700,28.1,groceries,simulated_bank_transactions_uk
2024-01-25,Bacs Food Delivery Mcdonalds Fast Food 807527,125.23,dining,simulated_bank_transactions_uk
2024-08-25,transport trainline fuel 921607,43.03,transportation,simulated_bank_transactions_uk
2023-03-03,Card Pmt Argos Pharmacy 319897,143.45,other,simulated_bank_transactions_uk
2023-08-01,Food Delivery Costa Restaurant,151.88,dining,simulated_bank_transactions_uk
2023-06-10,Restaurant/Just/Eat/Food/Delivery 609851,107.37,dining,simulated_bank_transactions_uk
2024-02-23,CONTACTLESS-WAITROSE-BREAD 805214,35.52,groceries,simulated_bank_transactions_uk
2023-02-03,card*pmt*tfl*car*maintenance 77517,66.85,transportation,simulated_bank_transactions_uk
2024-04-09,CARD PMT ASDA CHICKEN 754258,142.08,groceries,simulated_bank_transactions_uk
2024-10-02,card/payment/waitrose/rice 281464,185.16,groceries,simulated_bank_transactions_uk
2024-07-11,card payment mcdonalds fast food 908340,70.9,dining,simulated_bank_transactions_uk
2023-05-26,card contactless waitrose eggs 324528,182.14,groceries,simulated_bank_transactions_uk
2024-09-01,CARD PMT SAINSBURYS EGGS 519934,159.56,groceries,simulated_bank_transactions_uk
2024-04-24,restaurant deliveroo food delivery,73.07,dining,simulated_bank_transactions_uk
2024-05-27,SO CARD PMT COSTA CAFE 529750,151.11,dining,simulated_bank_transactions_uk
2023-02-10,mastercard fuel bolt fuel 985558,13.1,transportation,simulated_bank_transactions_uk
2023-09-14,RENT-PMT-LANDLORD,1149.6,housing,simulated_bank_transactions_uk
2024-08-12,Contactless-Asda-Rice 532958,192.57,groceries,simulated_bank_transactions_uk
2024-11-19,RESTAURANT JUST EAT RESTAURANT,159.93,dining,simulated_bank_transactions_uk
2023-06-29,Card Pmt Netflix 239596,5.65,subscriptions,simulated_bank_transactions_uk
2023-07-05,POS TRANSPORT ESSO FUEL 20857,128.42,transportation,simulated_bank_transactions_uk
2024-05-18,card pmt hmrc gift,159.79,other,simulated_bank_transactions_uk
2023-12-08,online purchase amazon gift 396129,88.95,other,simulated_bank_transactions_uk
2023-12-04,Bill Pmt E.on 843690,226.57,utilities,simulated_bank_transactions_uk
2024-02-15,TRANSPORT ESSO FUEL,41.77,transportation,simulated_bank_transactions_uk
2023-04-01,card pmt amazon prime,5.5,subscriptions,simulated_bank_transactions_uk
2024-02-18,utility/bill/octopus/energy 302602,52.24,utilities,simulated_bank_transactions_uk
2024-07-09,Mortgage-Pmt-Rent,1669.37,housing,simulated_bank_transactions_uk
2024-01-06,SO TRANSPORT NATIONAL RAIL UBER RIDE 753204,27.89,transportation,simulated_bank_transactions_uk
2023-02-22,Card Payment Mcdonalds Cafe 210144,101.94,dining,simulated_bank_transactions_uk
2024-03-24,Card/Pmt/Aldi/Eggs 759243,185.9,groceries,simulated_bank_transactions_uk
2024-10-07,RENT PMT RENT,838.21,housing,simulated_bank_transactions_uk
2023-11-15,CARD PMT DELIVEROO FAST FOOD 352317,115.02,dining,simulated_bank_transactions_uk
2023-04-27,FOOD DELIVERY JUST EAT CAFE 849102,19.45,dining,simulated_bank_transactions_uk
2023-06-07,Fuel-National-Rail-Uber-Ride,91.38,transportation,simulated_bank_transactions_uk
2023-10-07,transport uber bus pass 148442,72.22,transportation,simulated_bank_transactions_uk
2023-09-07,transport-uber-fuel 758997,137.27,transportation,simulated_bank_transactions_uk
2024-09-05,FUEL-BOLT-TRAIN-TICKET 720400,54.93,transportation,simulated_bank_transactions_uk
2023-10-10,Fuel Bolt Train Ticket 141057,121.24,transportation,simulated_bank_transactions_uk
2024-06-03,card pmt puregym 697353,17.93,subscriptions,simulated_bank_transactions_uk
2023-11-02,utility bill scottishpower,91.47,utilities,simulated_bank_transactions_uk
2024-05-16,so card payment amazon prime,44.95,subscriptions,simulated_bank_transactions_uk
2023-12-20,bacs*rent*pmt*mortgage 324139,1484.8,housing,simulated_bank_transactions_uk
2023-11-26,bill-payment-vodafone,113.64,utilities,simulated_bank_transactions_uk
2024-01-28,BACS*RENT*PMT*RENT 935631,1020.15,housing,simulated_bank_transactions_uk
2024-04-29,Card Payment Morrisons Fruit 365663,13.51,groceries,simulated_bank_transactions_uk
2024-11-10,RESTAURANT JUST EAT CAFE,64.84,dining,simulated_bank_transactions_uk
2023-02-07,CARD-PMT-GYM-GROUP 918722,24.31,subscriptions,simulated_bank_transactions_uk
2024-03-26,Pos Sainsburys Vegetables 71559,174.59,groceries,simulated_bank_transactions_uk
2023-05-28,visa/card/payment/tesco/cereal,7.99,groceries,simulated_bank_transactions_uk
2023-09-29,sto fuel national rail train ticket 337241,12.33,transportation,simulated_bank_transactions_uk
2023-12-03,UTILITY BILL E.ON 771925,177.71,utilities,simulated_bank_transactions_uk
2023-11-21,Direct Debit Bacs Mortgage Rent,1239.01,housing,simulated_bank_transactions_uk
2023-02-06,RESTAURANT STARBUCKS CAFE 237290,140.22,dining,simulated_bank_transactions_uk
2023-10-22,Restaurant Mcdonalds Fast Food 255655,102.83,dining,simulated_bank_transactions_uk
2023-04-11,Online/Purchase/Superdrug/Online/Purchase 396489,110.19,other,simulated_bank_transactions_uk
2024-12-11,subscription netflix 220036,22.19,subscriptions,simulated_bank_transactions_uk
2023-02-27,Pos*Bill*Payment*Severn*Trent,35.81,utilities,simulated_bank_transactions_uk
2023-09-08,Bill Payment Scottishpower 377710,126.21,utilities,simulated_bank_transactions_uk
2023-07-04,Fuel Shell Car Maintenance,96.09,transportation,simulated_bank_transactions_uk
2024-01-27,card/pmt/lidl/bread 581189,123.85,groceries,simulated_bank_transactions_uk
2024-08-20,FOOD/DELIVERY/UBER/EATS/FAST/FOOD 687406,82.14,dining,simulated_bank_transactions_uk
2024-04-15,Card Pmt Waitrose Cereal 834592,129.39,groceries,simulated_bank_transactions_uk
2024-04-21,So Utility Bill E.on 880827,236.24,utilities,simulated_bank_transactions_uk
2023-03-17,POS/RENT/PMT/RENT,1497.23,housing,simulated_bank_transactions_uk
2023-11-03,so-fuel-esso-bus-pas,138.3,transportation,simulated_bank_transactions_uk
2024-04-12,card-payment-starbucks-cafe,112.0,dining,simulated_bank_transactions_uk
2024-05-09,subscription/gym/group 869286,44.97,subscriptions,simulated_bank_transactions_uk
2024-08-11,pos tesco fruit,116.52,groceries,simulated_bank_transactions_uk
2024-11-05,Utility Bill Vodafone 946053,30.16,utilities,simulated_bank_transactions_uk
2024-12-03,Mastercard Bill Pmt Bt 892737,157.99,utilities,simulated_bank_transactions_uk
2024-05-23,Card Payment Amazon Prime 171341,41.34,subscriptions,simulated_bank_transactions_uk
2023-08-24,Card Pmt Gym Group 83237,35.81,subscriptions,simulated_bank_transactions_uk
2023-07-14,Card*Payment*Costa*Food*Delivery,38.95,dining,simulated_bank_transactions_uk
2024-10-04,So Restaurant Greggs Fast Food 693764,102.38,dining,simulated_bank_transactions_uk
2023-02-04,RESTAURANT/UBER/EATS/FOOD/DELIVERY,127.23,dining,simulated_bank_transactions_uk
2023-10-30,card payment nando's fast food 92537,18.97,dining,simulated_bank_transactions_uk
2023-05-16,mastercard-utility-bi,66.28,utilities,simulated_bank_transactions_uk
2023-10-07,SUBSCRIPTION GYM GROUP 316759,25.76,subscriptions,simulated_bank_transactions_uk
2024-05-08,subscription disney+ 264926,41.48,subscriptions,simulated_bank_transactions_uk
2023-12-13,ONLINE*PURCHASE*NHS*PHARMACY 651318,187.4,other,simulated_bank_transactions_uk
2023-05-25,Direct Debit Google *services 316029,43.48,subscriptions,simulated_bank_transactions_uk
2024-11-21,Bacs*Direct*Debit*Amazon*Prime,39.27,subscriptions,simulated_bank_transactions_uk
2024-02-09,pos/purchase/superdrug/electronics 573133,93.35,other,simulated_bank_transactions_uk
2024-11-19,CONTACTLESS TES,93.68,groceries,simulated_bank_transactions_uk
2024-10-15,CONTACTLESS FOOD DELIVERY STARBUCKS FOOD DELIVERY,95.61,dining,simulated_bank_transactions_uk
2024-04-27,mortgage pmt rent,1696.0,housing,simulated_bank_transactions_uk
2023-08-15,Pos Card Payment Tesco Vegetables 47448,183.47,groceries,simulated_bank_transactions_uk
2023-11-06,MASTERCARD RESTAURANT STARBUCKS CAFE 609717,145.96,dining,simulated_bank_transactions_uk
2023-02-08,Restaurant Kfc Restaurant 362724,26.67,dining,simulated_bank_transactions_uk
2023-08-29,Direct/Debit/O2 360731,52.29,utilities,simulated_bank_transactions_uk
2024-01-15,BACS LANDLORD RENT 71437,1252.4,housing,simulated_bank_transactions_uk
2023-06-08,Card/Pmt/Nando's/Cafe 579719,96.04,dining,simulated_bank_transactions_uk
2024-05-16,Mortgage*Payment*Mortgage 774207,803.48,housing,simulated_bank_transactions_uk
2024-01-15,Restaurant Kfc Food Delivery 839338,10.07,dining,simulated_bank_transactions_uk
2024-01-07,MASTERCARD CARD PMT ASDA CEREAL 671153,190.36,groceries,simulated_bank_transactions_uk
2024-10-22,contactless morrisons vegetables 854266,111.17,groceries,simulated_bank_transactions_uk
2023-05-06,utility bill thames water 728120,89.83,utilities,simulated_bank_transactions_uk
2023-08-06,mortgage payment mortgage 964810,792.09,housing,simulated_bank_transactions_uk
2023-12-08,FOOD*DELIVERY*MCDONALDS*RESTAURANT 908565,12.84,dining,simulated_bank_transactions_uk
2023-07-30,Bacs Card Payment Tesco Eggs 718956,158.46,groceries,simulated_bank_transactions_uk
2023-08-27,Visa Card Payment Iceland Rice 564723,119.34,groceries,simulated_bank_transactions_uk
2024-09-02,UTILITY-BILL-O2,210.33,utilities,simulated_bank_transactions_uk
2024-07-07,CONTACTLESS ICELAND EGGS,197.57,groceries,simulated_bank_transactions_uk
2023-01-27,Bill Pmt British Gas,50.83,utilities,simulated_bank_transactions_uk
2023-09-01,Pos Lidl Vegetables 823974,159.05,groceries,simulated_bank_transactions_uk
2023-02-23,card-pmt-kfc-restaurant 281329,32.01,dining,simulated_bank_transactions_uk
2023-03-07,Pos Sainsburys Fruit 909149,107.59,groceries,simulated_bank_transactions_uk
2023-04-22,Fuel National Rail Bus Pass 606474,72.83,transportation,simulated_bank_transactions_uk
2023-02-14,mastercard card pmt bp train ticket 920933,132.47,transportation,simulated_bank_transactions_uk
2023-02-01,Restaurant*Deliveroo*Food*Delivery 732160,76.0,dining,simulated_bank_transactions_uk
2024-03-12,Bacs Contactless Sainsburys Cereal 298368,170.22,groceries,simulated_bank_transactions_uk
2024-03-30,Card Pmt Uber Eats Cafe 657596,115.42,dining,simulated_bank_transactions_uk
2023-06-01,POS ICELAND BREAD,67.81,groceries,simulated_bank_transactions_uk
