Category,Item,Total Spent,Transaction Date
Dining,Cafe,74.76,2023-09-11
Subscriptions,Gym Membership,35.4,2024-06-17
Transportation,Train Ticket,39.89,2023-03-21
Dining,Fast Food,47.12,2023-11-24
Housing,Rent,864.48,2023-08-25
Utilities,Water Bill,191.01,2023-03-07
Transportation,Bus Pass,76.88,2024-03-01
Groceries,Fruit,80.95,2024-08-21
Housing,Rent,1977.93,2024-08-12
Utilities,Electricity Bill,246.54,2023-11-02
Subscriptions,iCloud,26.07,2024-07-13
Subscriptions,Spotify,24.02,2023-10-07
Transportation,Uber Ride,55.66,2024-11-15
Dining,Cafe,117.25,2024-04-23
Housing,Landlord Payment,1477.89,2024-02-08
Dining,Restaurant,18.01,2024-03-14
Groceries,Cereal,40.44,2023-09-24
Utilities,Water Bill,131.85,2023-12-12
Subscriptions,iCloud,15.41,2024-03-07
Utilities,Electricity Bill,135.52,2024-07-06
Groceries,Vegetables,48.72,2023-03-12
Subscriptions,Netflix,34.92,2023-09-11
Groceries,Milk,126.16,2023-09-02
Groceries,Bread,114.97,2023-08-12
Transportation,Bus Pass,107.83,2023-06-21
Dining,Restaurant,125.56,2023-06-17
Other,Online Purchase,145.94,2023-11-16
Dining,Cafe,66.48,2023-07-23
Groceries,Rice,24.87,2023-11-05
Housing,Landlord Payment,1898.57,2024-08-02
Subscriptions,Gym Membership,25.84,2024-11-08
Utilities,Phone Bill,177.17,2023-01-13
Subscriptions,iCloud,8.33,2024-01-06
Dining,Cafe,114.63,2024-03-21
Groceries,Chicken,125.1,2024-07-05
Subscriptions,iCloud,21.86,2024-08-29
Utilities,Water Bill,220.22,2023-03-30
Utilities,Internet Bill,82.31,2024-04-20
Dining,Cafe,57.14,2024-05-21
Housing,Rent,1405.7,2023-12-30
Subscriptions,Gym Membership,15.47,2024-09-02
Dining,Food Delivery,91.15,2024-06-13
Housing,Rent,1024.1,2024-02-21
Transportation,Train Ticket,97.3,2024-10-23
Dining,Cafe,127.9,2023-04-06
Utilities,Internet Bill,187.57,2023-11-10
Dining,Food Delivery,78.36,2024-06-27
Utilities,Phone Bill,102.74,2024-12-20
Transportation,Bus Pass,36.69,2023-05-04
Dining,Food Delivery,23.53,2024-07-02
Other,Misc Expense,50.31,2024-05-10
Utilities,Phone Bill,254.5,2024-06-21
Dining,Restaurant,134.06,2023-10-31
Groceries,Eggs,63.94,2024-12-26
Transportation,Bus Pass,8.28,2023-02-25
Dining,Fast Food,103.87,2024-05-17
Groceries,Milk,116.94,2024-04-25
Transportation,Bus Pass,27.44,2023-02-22
Utilities,Internet Bill,51.81,2023-03-08
Transportation,Uber Ride,81.63,2024-12-03
Groceries,Eggs,163.17,2023-11-08
Groceries,Rice,28.1,2024-03-02
Dining,Fast Food,125.23,2024-01-25
Transportation,Fuel,43.03,2024-08-25
Other,Pharmacy,143.45,2023-03-03
Dining,Restaurant,151.88,2023-08-01
Dining,Food Delivery,107.37,2023-06-10
Groceries,Bread,35.52,2024-02-23
Transportation,Car Maintenance,66.85,2023-02-03
Groceries,Chicken,142.08,2024-04-09
Groceries,Rice,185.16,2024-10-02
Dining,Fast Food,70.9,2024-07-11
Groceries,Eggs,182.14,2023-05-26
Groceries,Eggs,159.56,2024-09-01
Dining,Food Delivery,73.07,2024-04-24
Dining,Cafe,151.11,2024-05-27
Transportation,Fuel,13.1,2023-02-10
Housing,Landlord Payment,1149.6,2023-09-14
Groceries,Rice,192.57,2024-08-12
Dining,Restaurant,159.93,2024-11-19
Subscriptions,Prime Membership,5.65,2023-06-29
Transportation,Fuel,128.42,2023-07-05
Other,Gift,159.79,2024-05-18
Other,Gift,88.95,2023-12-08
Utilities,Electricity Bill,226.57,2023-12-04
Transportation,Fuel,41.77,2024-02-15
Subscriptions,Prime Membership,5.5,2023-04-01
Utilities,Gas Bill,52.24,2024-02-18
Housing,Rent,1669.37,2024-07-09
Transportation,Uber Ride,27.89,2024-01-06
Dining,Cafe,101.94,2023-02-22
Groceries,Eggs,185.9,2024-03-24
Housing,Mortgage,838.21,2024-10-07
Dining,Fast Food,115.02,2023-11-15
Dining,Cafe,19.45,2023-04-27
Transportation,Uber Ride,91.38,2023-06-07
Transportation,Bus Pass,72.22,2023-10-07
Transportation,Fuel,137.27,2023-09-07
Transportation,Train Ticket,54.93,2024-09-05
Transportation,Train Ticket,121.24,2023-10-10
Subscriptions,iCloud,17.93,2024-06-03
Utilities,Electricity Bill,91.47,2023-11-02
Subscriptions,Prime Membership,44.95,2024-05-16
Housing,Mortgage,1484.8,2023-12-20
Utilities,Phone Bill,113.64,2023-11-26
Housing,Landlord Payment,1020.15,2024-01-28
Groceries,Fruit,13.51,2024-04-29
Dining,Cafe,64.84,2024-11-10
Subscriptions,Spotify,24.31,2023-02-07
Groceries,Vegetables,174.59,2024-03-26
Groceries,Cereal,7.99,2023-05-28
Transportation,Train Ticket,12.33,2023-09-29
Utilities,Internet Bill,177.71,2023-12-03
Housing,Landlord Payment,1239.01,2023-11-21
Dining,Cafe,140.22,2023-02-06
Dining,Fast Food,102.83,2023-10-22
Other,Online Purchase,110.19,2023-04-11
Subscriptions,Netflix,22.19,2024-12-11
Utilities,Electricity Bill,35.81,2023-02-27
Utilities,Gas Bill,126.21,2023-09-08
Transportation,Car Maintenance,96.09,2023-07-04
Groceries,Bread,123.85,2024-01-27
Dining,Fast Food,82.14,2024-08-20
Groceries,Cereal,129.39,2024-04-15
Utilities,Electricity Bill,236.24,2024-04-21
Housing,Landlord Payment,1497.23,2023-03-17
Transportation,Bus Pass,138.3,2023-11-03
Dining,Cafe,112.0,2024-04-12
Subscriptions,Spotify,44.97,2024-05-09
Groceries,Fruit,116.52,2024-08-11
Utilities,Gas Bill,30.16,2024-11-05
Utilities,Electricity Bill,157.99,2024-12-03
Subscriptions,Netflix,41.34,2024-05-23
Subscriptions,Gym Membership,35.81,2023-08-24
Dining,Food Delivery,38.95,2023-07-14
Dining,Fast Food,102.38,2024-10-04
Dining,Food Delivery,127.23,2023-02-04
Dining,Fast Food,18.97,2023-10-30
Utilities,Internet Bill,66.28,2023-05-16
Subscriptions,Gym Membership,25.76,2023-10-07
Subscriptions,Gym Membership,41.48,2024-05-08
Other,Pharmacy,187.4,2023-12-13
Subscriptions,iCloud,43.48,2023-05-25
Subscriptions,Spotify,39.27,2024-11-21
Other,Electronics,93.35,2024-02-09
Groceries,Bread,93.68,2024-11-19
Dining,Food Delivery,95.61,2024-10-15
Housing,Rent,1696.0,2024-04-27
Groceries,Vegetables,183.47,2023-08-15
Dining,Cafe,145.96,2023-11-06
Dining,Restaurant,26.67,2023-02-08
Utilities,Internet Bill,52.29,2023-08-29
Housing,Rent,1252.4,2024-01-15
Dining,Cafe,96.04,2023-06-08
Housing,Landlord Payment,803.48,2024-05-16
Dining,Food Delivery,10.07,2024-01-15
Groceries,Cereal,190.36,2024-01-07
Groceries,Vegetables,111.17,2024-10-22
Utilities,Internet Bill,89.83,2023-05-06
Housing,Mortgage,792.09,2023-08-06
Dining,Restaurant,12.84,2023-12-08
Groceries,Eggs,158.46,2023-07-30
Groceries,Rice,119.34,2023-08-27
Utilities,Water Bill,210.33,2024-09-02
Groceries,Eggs,197.57,2024-07-07
Utilities,Water Bill,50.83,2023-01-27
Groceries,Vegetables,159.05,2023-09-01
Dining,Restaurant,32.01,2023-02-23
Groceries,Fruit,107.59,2023-03-07
Transportation,Bus Pass,72.83,2023-04-22
Transportation,Train Ticket,132.47,2023-02-14
Dining,Food Delivery,76.0,2023-02-01
Groceries,Cereal,170.22,2024-03-12
Dining,Cafe,115.42,2024-03-30
Groceries,Bread,67.81,2023-06-01
Groceries,Chicken,126.74,2024-08-22
Transportation,Bus Pass,54.56,2024-09-03
Transportation,Fuel,71.77,2024-03-16
Groceries,Bread,171.29,2024-10-28
Housing,Landlord Payment,1767.3,2023-08-09
Transportation,Train Ticket,59.11,2024-04-09
Utilities,Electricity Bill,98.45,2023-11-17
Dining,Food Delivery,152.81,2024-12-04
Housing,Rent,791.4,2023-03-29
Groceries,Bread,150.19,2024-01-17
Subscriptions,Prime Membership,6.46,2024-07-29
Dining,Restaurant,68.68,2024-11-12
Housing,Mortgage,1995.54,2023-02-22
Other,Electronics,80.17,2023-04-17
Dining,Fast Food,28.98,2024-05-08
Groceries,Bread,73.27,2024-07-23
Utilities,Gas Bill,159.91,2024-03-15
Subscriptions,Prime Membership,29.16,2024-10-20
Dining,Food Delivery,9.49,2023-10-07
Dining,Food Delivery,147.84,2023-12-26
Groceries,Eggs,115.43,2024-02-15
Groceries,Milk,22.89,2024-06-27
Groceries,Fruit,93.46,2023-06-11
Utilities,Gas Bill,207.56,2024-08-04
Dining,Restaurant,29.11,2024-09-24
Groceries,Bread,58.06,2024-11-08
Transportation,Car Maintenance,63.0,2023-10-07
Groceries,Bread,72.31,2023-04-24
Utilities,Phone Bill,139.36,2024-11-14
Utilities,Water Bill,117.89,2024-09-05
Groceries,Rice,63.78,2023-08-05
Subscriptions,Gym Membership,15.87,2023-05-03
Groceries,Fruit,39.26,2024-01-25
Transportation,Train Ticket,71.04,2024-11-15
Subscriptions,Netflix,20.28,2023-02-13
Transportation,Fuel,129.12,2023-11-17
Dining,Cafe,114.97,2024-03-03
Utilities,Internet Bill,29.9,2023-11-29
Groceries,Cereal,167.25,2024-01-06
Groceries,Bread,52.45,2024-08-26
Transportation,Uber Ride,56.62,2023-11-14
Dining,Fast Food,56.63,2023-06-22
Groceries,Bread,108.47,2023-07-18
Housing,Mortgage,1194.2,2024-10-22
Subscriptions,Spotify,8.21,2023-09-20
Groceries,Eggs,153.24,2024-11-02
Groceries,Cereal,95.47,2024-07-31
Subscriptions,iCloud,31.93,2024-08-01
Dining,Food Delivery,138.96,2024-10-04
Utilities,Internet Bill,41.05,2024-03-28
Dining,Food Delivery,96.67,2023-12-27
Transportation,Bus Pass,65.72,2023-02-08
Groceries,Chicken,19.96,2023-04-03
Dining,Cafe,76.72,2024-07-21
Other,Online Purchase,114.08,2024-08-08
Dining,Food Delivery,98.78,2024-05-28
Groceries,Milk,92.85,2023-12-18
Other,Online Purchase,127.62,2023-06-26
Groceries,Cereal,198.24,2024-06-20
Transportation,Train Ticket,52.22,2023-10-17
Utilities,Gas Bill,184.54,2023-02-23
Subscriptions,Gym Membership,6.7,2023-04-07
Dining,Cafe,49.04,2024-11-03
Other,Electronics,218.7,2023-12-08
Groceries,Eggs,183.77,2023-11-14
Other,Gift,34.85,2024-12-26
Housing,Mortgage,1516.33,2024-10-20
Subscriptions,Spotify,31.47,2024-12-02
Housing,Rent,1651.34,2024-03-09
Transportation,Uber Ride,52.04,2023-07-04
Other,Pharmacy,237.07,2024-05-12
Groceries,Eggs,35.21,2023-10-30
Subscriptions,Netflix,24.82,2024-07-06
Subscriptions,Prime Membership,5.55,2023-12-11
Housing,Landlord Payment,853.13,2024-01-21
Groceries,Eggs,167.11,2024-10-01
Subscriptions,Spotify,33.57,2023-02-14
Transportation,Train Ticket,135.8,2024-09-17
Utilities,Internet Bill,79.99,2023-09-02
Utilities,Internet Bill,237.43,2023-07-18
Utilities,Phone Bill,256.34,2024-04-17
Subscriptions,iCloud,24.62,2024-03-04
Other,Misc Expense,200.91,2023-05-22
Housing,Rent,1643.83,2024-01-16
Dining,Restaurant,115.27,2024-06-12
Housing,Mortgage,780.01,2023-06-14
Utilities,Phone Bill,59.63,2024-03-23
Groceries,Rice,164.26,2023-12-24
Housing,Mortgage,732.55,2024-05-29
Utilities,Internet Bill,258.71,2024-01-19
Groceries,Vegetables,186.51,2024-10-27
Utilities,Water Bill,57.34,2023-10-21
Housing,Mortgage,1728.91,2023-05-23
Subscriptions,iCloud,22.39,2023-01-06
Housing,Rent,1046.68,2023-06-03
Transportation,Car Maintenance,74.83,2023-04-24
Subscriptions,Spotify,16.35,2023-02-18
Groceries,Cereal,17.25,2024-05-26
Dining,Restaurant,102.95,2024-08-11
Groceries,Eggs,61.8,2023-01-02
Dining,Fast Food,93.45,2023-07-11
Dining,Restaurant,86.14,2024-01-05
Groceries,Milk,81.14,2024-04-26
Groceries,Fruit,196.3,2023-09-17
Dining,Food Delivery,127.22,2023-12-20
Groceries,Bread,155.44,2023-12-07
Groceries,Vegetables,111.47,2024-10-20
Groceries,Cereal,196.26,2024-05-05
Dining,Fast Food,14.78,2024-04-13
Groceries,Rice,13.54,2023-07-24
Housing,Mortgage,2096.73,2024-06-11
Utilities,Phone Bill,136.25,2023-02-07
Subscriptions,Spotify,15.73,2023-02-18
Housing,Mortgage,1073.49,2024-01-12
Transportation,Fuel,104.58,2024-01-31
Utilities,Water Bill,141.61,2024-05-24
Utilities,Phone Bill,87.68,2023-03-26
Dining,Restaurant,71.74,2023-07-04
Transportation,Bus Pass,16.16,2023-12-02
Dining,Food Delivery,74.12,2024-03-12
Groceries,Cereal,73.55,2023-02-13
Dining,Food Delivery,100.3,2024-03-21
Utilities,Electricity Bill,42.63,2024-10-14
Transportation,Car Maintenance,112.55,2024-11-26
Groceries,Milk,32.84,2024-09-14
Dining,Cafe,10.39,2023-03-10
Groceries,Vegetables,75.62,2024-08-03
Groceries,Eggs,137.42,2024-01-15
Utilities,Electricity Bill,159.87,2024-06-26
Utilities,Gas Bill,177.65,2023-09-13
Other,Online Purchase,184.71,2024-05-26
Transportation,Car Maintenance,18.25,2023-09-24
Dining,Fast Food,159.44,2023-10-20
Dining,Cafe,36.03,2023-05-19
Housing,Mortgage,917.62,2024-12-31
Transportation,Uber Ride,113.85,2023-11-24
Dining,Restaurant,90.25,2023-10-25
Housing,Rent,1753.3,2024-12-18
Dining,Food Delivery,83.86,2023-05-05
Other,Misc Expense,61.47,2024-05-20
Groceries,Vegetables,96.14,2024-07-18
Groceries,Bread,17.82,2024-02-12
Other,Gift,132.85,2024-02-24
Subscriptions,Netflix,9.14,2023-11-21
Dining,Cafe,77.2,2024-06-13
Utilities,Phone Bill,175.35,2023-07-06
Subscriptions,Spotify,21.74,2023-02-26
Subscriptions,Prime Membership,10.27,2023-06-18
Groceries,Rice,72.47,2024-06-15
Housing,Rent,1038.44,2024-10-12
Other,Pharmacy,33.92,2023-11-07
Dining,Restaurant,82.9,2023-06-22
Dining,Fast Food,31.54,2024-10-01
Dining,Food Delivery,135.59,2024-07-31
Groceries,Milk,20.84,2024-10-18
Subscriptions,Gym Membership,30.7,2024-08-08
Transportation,Uber Ride,70.73,2024-10-04
Transportation,Bus Pass,68.65,2024-12-02
Transportation,Fuel,12.07,2023-03-03
Groceries,Fruit,99.43,2023-07-28
Utilities,Water Bill,98.46,2023-11-23
Dining,Food Delivery,156.18,2023-05-14
Subscriptions,Prime Membership,27.03,2023-11-23
Groceries,Bread,57.16,2023-09-11
Groceries,Milk,61.59,2024-01-29
Housing,Mortgage,1034.82,2023-06-13
Subscriptions,Prime Membership,33.57,2023-07-14
Subscriptions,iCloud,44.83,2024-04-23
Transportation,Bus Pass,70.64,2023-04-03
Housing,Landlord Payment,1358.71,2023-09-04
Groceries,Vegetables,14.49,2023-10-16
Transportation,Fuel,41.43,2023-01-09
Subscriptions,iCloud,9.49,2023-09-28
Dining,Cafe,61.72,2024-02-15
Groceries,Rice,75.69,2023-10-23
Groceries,Cereal,154.06,2023-10-14
Subscriptions,Prime Membership,31.9,2023-05-02
Groceries,Bread,81.81,2023-12-14
Dining,Food Delivery,122.02,2023-07-23
Dining,Cafe,82.51,2023-02-16
Groceries,Vegetables,161.77,2024-06-15
Transportation,Car Maintenance,125.25,2023-05-24
Utilities,Phone Bill,99.85,2024-02-07
Other,Pharmacy,149.65,2024-06-03
Subscriptions,Prime Membership,24.08,2024-07-30
Utilities,Electricity Bill,111.56,2024-11-20
Groceries,Fruit,118.82,2024-12-05
Dining,Cafe,46.16,2024-11-02
Subscriptions,Prime Membership,27.68,2023-02-22
Dining,Fast Food,86.26,2024-09-26
Subscriptions,iCloud,10.06,2024-11-28
Groceries,Bread,42.2,2024-03-27
Utilities,Water Bill,122.05,2023-07-28
Transportation,Car Maintenance,129.03,2023-03-05
Dining,Fast Food,91.94,2024-11-09
Transportation,Fuel,45.3,2023-06-27
Transportation,Car Maintenance,49.24,2023-12-29
Dining,Food Delivery,99.56,2023-07-16
Other,Pharmacy,140.85,2023-08-19
Housing,Mortgage,1845.32,2024-12-22
Groceries,Cereal,66.82,2023-12-24
Dining,Food Delivery,49.61,2024-08-10
Dining,Cafe,143.84,2024-02-09
Subscriptions,Spotify,15.91,2023-10-22
Other,Online Purchase,88.55,2024-03-28
Dining,Cafe,38.17,2024-07-05
Utilities,Phone Bill,188.6,2023-05-21
Groceries,Rice,52.28,2024-11-16
Housing,Rent,1638.81,2023-02-23
Groceries,Vegetables,144.88,2023-04-13
Dining,Fast Food,5.8,2024-07-17
Other,Misc Expense,103.51,2024-05-02
Transportation,Train Ticket,106.32,2023-10-22
Utilities,Electricity Bill,238.37,2023-04-02
Dining,Fast Food,87.95,2023-02-08
Housing,Rent,1297.72,2023-06-30
Housing,Rent,2195.62,2024-02-11
Subscriptions,Spotify,42.4,2023-10-24
Housing,Rent,1112.51,2024-09-09
Groceries,Vegetables,60.49,2024-10-18
Transportation,Fuel,124.72,2023-05-18
Housing,Mortgage,1072.9,2023-04-26
Utilities,Internet Bill,177.35,2023-07-10
Groceries,Vegetables,159.2,2024-08-04
Dining,Fast Food,32.2,2024-10-16
Housing,Mortgage,1448.69,2023-03-30
Transportation,Uber Ride,27.5,2023-05-24
Transportation,Train Ticket,2.94,2024-01-28
Groceries,Chicken,191.04,2023-11-06
Dining,Restaurant,45.54,2024-01-04
Dining,Restaurant,108.51,2024-04-21
Utilities,Internet Bill,186.23,2024-12-21
Subscriptions,Netflix,30.19,2023-10-30
Utilities,Water Bill,76.5,2023-05-17
Transportation,Fuel,105.19,2024-09-12
Utilities,Phone Bill,239.51,2024-07-04
Subscriptions,Spotify,35.24,2024-11-27
Subscriptions,Netflix,25.55,2024-06-24
Dining,Restaurant,147.17,2023-04-25
Groceries,Rice,116.68,2023-06-03
Groceries,Cereal,27.67,2023-07-30
Dining,Cafe,19.1,2024-06-06
Transportation,Uber Ride,64.57,2024-06-09
Transportation,Car Maintenance,9.97,2024-04-18
Dining,Food Delivery,117.11,2024-02-10
Utilities,Electricity Bill,200.26,2024-08-15
Groceries,Fruit,72.18,2023-03-07
Transportation,Uber Ride,130.97,2023-03-12
Other,Gift,10.84,2024-02-23
Groceries,Eggs,154.34,2024-10-23
Other,Pharmacy,248.24,2024-01-27
Transportation,Fuel,53.84,2024-11-30
Other,Electronics,35.85,2023-12-23
Groceries,Fruit,108.12,2023-08-17
Subscriptions,Netflix,44.12,2024-04-19
Dining,Cafe,87.45,2023-08-24
Groceries,Vegetables,35.25,2023-07-13
Housing,Landlord Payment,1836.51,2023-02-02
Subscriptions,iCloud,29.21,2023-01-17
Groceries,Bread,24.67,2023-02-04
Transportation,Uber Ride,35.77,2023-02-15
Transportation,Train Ticket,76.49,2023-02-27
Groceries,Chicken,50.66,2024-08-12
Utilities,Phone Bill,206.55,2023-11-25
Groceries,Eggs,197.21,2024-06-17
Groceries,Chicken,58.66,2024-07-24
Housing,Landlord Payment,2062.95,2024-10-03
Dining,Cafe,12.27,2023-12-19
Housing,Landlord Payment,1240.79,2024-06-21
Utilities,Internet Bill,120.94,2023-11-04
Utilities,Phone Bill,136.28,2023-08-19
Utilities,Water Bill,214.36,2023-03-01
Dining,Cafe,91.38,2023-05-18
Utilities,Gas Bill,72.78,2024-10-24
Groceries,Cereal,170.19,2023-04-05
Transportation,Train Ticket,9.11,2024-01-22
Dining,Restaurant,140.41,2023-07-12
Subscriptions,Prime Membership,33.7,2024-07-26
Groceries,Rice,174.55,2023-12-07
Utilities,Electricity Bill,74.77,2023-07-14
Other,Online Purchase,187.48,2024-05-05
Housing,Landlord Payment,1586.82,2023-07-29
Utilities,Water Bill,154.74,2023-10-17
Utilities,Phone Bill,177.45,2023-11-12
Utilities,Phone Bill,232.46,2024-04-22
Groceries,Cereal,153.52,2023-11-24
Housing,Mortgage,1135.03,2023-02-16
Dining,Fast Food,119.89,2023-01-17
Utilities,Phone Bill,161.1,2024-03-03
Utilities,Water Bill,102.52,2024-01-24
Dining,Fast Food,82.39,2024-11-01
Housing,Mortgage,1048.86,2024-05-15
Other,Gift,116.82,2023-12-27
Groceries,Cereal,40.89,2024-07-09
Other,Online Purchase,132.41,2023-03-18
Housing,Landlord Payment,725.2,2023-01-07
Transportation,Train Ticket,11.38,2023-06-04
Groceries,Cereal,77.77,2024-09-24
Dining,Cafe,107.19,2023-01-17
Groceries,Fruit,7.31,2024-06-26
Dining,Food Delivery,7.66,2024-12-15
Dining,Fast Food,21.59,2023-04-09
Transportation,Train Ticket,28.49,2024-06-23
Utilities,Gas Bill,87.82,2024-02-11
Groceries,Fruit,94.5,2023-09-07
Other,Misc Expense,77.09,2023-03-24
Dining,Restaurant,19.49,2024-01-24
Utilities,Internet Bill,38.19,2023-01-10
Dining,Restaurant,82.48,2024-03-20
Dining,Food Delivery,92.71,2023-04-08
Housing,Rent,1006.14,2024-12-09
Housing,Mortgage,1070.2,2023-03-18
Dining,Food Delivery,144.39,2024-07-31
Dining,Fast Food,148.96,2023-11-19
Groceries,Rice,119.47,2024-12-30
Subscriptions,Netflix,16.27,2024-07-31
Groceries,Fruit,137.02,2024-07-07
Utilities,Water Bill,210.77,2024-12-06
Dining,Food Delivery,13.32,2024-03-23
Groceries,Bread,71.42,2024-09-20
Other,Gift,242.32,2023-12-01
Groceries,Chicken,157.79,2024-04-06
Transportation,Bus Pass,78.32,2024-01-20
Transportation,Car Maintenance,93.17,2023-03-29
Subscriptions,Gym Membership,36.72,2024-12-31
Groceries,Chicken,35.07,2024-12-29
Subscriptions,Spotify,34.33,2023-11-21
Utilities,Electricity Bill,26.22,2023-11-12
Transportation,Bus Pass,16.11,2023-03-31
Groceries,Cereal,113.61,2024-06-08
Transportation,Uber Ride,14.37,2024-07-21
Groceries,Vegetables,173.43,2023-01-13
Utilities,Internet Bill,208.1,2024-07-26
Housing,Rent,1536.54,2023-06-23
Dining,Fast Food,26.52,2023-11-05
Utilities,Water Bill,39.87,2024-03-21
Utilities,Gas Bill,138.79,2023-03-20
Utilities,Water Bill,194.41,2024-05-22
Dining,Fast Food,75.97,2023-05-19
Utilities,Internet Bill,103.07,2024-09-27
Utilities,Gas Bill,128.45,2024-03-16
Subscriptions,Prime Membership,9.58,2023-11-25
Dining,Fast Food,79.25,2023-07-01
